level,group,lemma
a2,group-1,krank
a2,group-1,gesund
a2,group-1,müde
a2,group-1,wach
a2,group-1,voll
a2,group-1,leer
a2,group-1,nah
a2,group-1,weit
a2,group-1,höflich
a2,group-1,draußen
a2,group-1,drinnen
a2,group-1,links
a2,group-1,rechts
a2,group-1,dort
a2,group-1,gute Reise
a2,group-1,zum Bahnhof
a2,group-1,geradeaus gehen
a2,group-1,nach Hause
a2,group-1,im Voraus
a2,group-1,tut mir leid
a2,group-1,keine Ahnung
a2,group-1,einen Moment
a2,group-1,ich hätte gern
a2,group-1,was kostet
b1,group-1,Erfahrung
b1,group-1,Meinung
b1,group-1,Entscheidung
b1,group-1,Möglichkeit
b1,group-1,Unterschied
b1,group-1,Vorteil
b1,group-1,Nachteil
b1,group-1,Grund
b1,group-1,Ziel
b1,group-1,Plan
b1,group-1,Lösung
b1,group-1,Problem
b1,group-1,Gefahr
b1,group-1,Chance
b1,group-1,Beziehung
b1,group-1,Gespräch
b1,group-1,Diskussion
b1,group-1,Vereinbarung
b1,group-1,Verantwortung
b1,group-1,Erinnerung
b1,group-1,Veränderung
b1,group-1,Entwicklung
b1,group-1,Ausbildung
b1,group-1,Bewerbung
b1,group-1,Vorstellungsgespräch
b1,group-1,Vertrag
b1,group-1,Gehalt
b1,group-1,Kollege
b1,group-1,Chefin
b1,group-1,Kunde
b1,group-1,Projekt
b1,group-1,Aufgabe
b1,group-1,Ergebnis
b1,group-1,Erfolg
b1,group-1,Fehler
b1,group-1,Versuch
b1,group-1,Umwelt
b1,group-1,Energie
b1,group-1,Verkehr
b1,group-1,Gesellschaft
b1,group-1,entscheiden
b1,group-1,glauben
b1,group-1,meinen
b1,group-1,hoffen
b1,group-1,erwarten
b1,group-1,beschreiben
b1,group-1,vergleichen
b1,group-1,begründen
b1,group-1,zustimmen
b1,group-1,ablehnen
b1,group-1,vorschlagen
b1,group-1,planen
b1,group-1,organisieren
b1,group-1,schaffen
b1,group-1,erreichen
b1,group-1,verbessern
b1,group-1,verändern
b1,group-1,entwickeln
b1,group-1,erinnern
b1,group-1,bewerben
b1,group-1,kündigen
b1,group-1,verdienen
b1,group-1,teilnehmen
b1,group-1,diskutieren
b1,group-1,streiten
b1,group-1,lösen
b1,group-1,vermeiden
b1,group-1,erleben
b1,group-1,beweisen
b1,group-1,prüfen
b1,group-1,wichtig
b1,group-1,unwichtig
b1,group-1,möglich
b1,group-1,unmöglich
b1,group-1,ähnlich
b1,group-1,verschieden
b1,group-1,sicher
b1,group-1,gefährlich
b1,group-1,persönlich
b1,group-1,öffentlich
b1,group-1,beruflich
b1,group-1,privat
b1,group-1,verantwortlich
b1,group-1,zufrieden
b1,group-1,unzufrieden
b1,group-1,trotzdem
b1,group-1,deshalb
b1,group-1,außerdem
b1,group-1,vielleicht
b1,group-1,wahrscheinlich
b1,group-1,meiner Meinung nach
b1,group-1,im Vergleich zu
b1,group-1,auf jeden Fall
b1,group-1,unter anderem
b1,group-1,zum Beispiel
b1,group-1,keine Sorge
b1,group-1,es hängt davon ab
b1,group-1,ich stimme zu
b1,group-1,das kommt darauf an
b1,group-1,soweit ich weiß
b2,group-1,Herausforderung
b2,group-1,Voraussetzung
b2,group-1,Auswirkung
b2,group-1,Zusammenhang
b2,group-1,Einfluss
b2,group-1,Maßnahme
b2,group-1,Forschung
b2,group-1,Studie
b2,group-1,Quelle
b2,group-1,Beweis
b2,group-1,Darstellung
b2,group-1,Zugang
b2,group-1,Bereich
b2,group-1,Anteil
b2,group-1,Nachfrage
b2,group-1,Angebot
b2,group-1,Wettbewerb
b2,group-1,Unternehmen
b2,group-1,Branche
b2,group-1,Wirtschaft
b2,group-1,Wachstum
b2,group-1,Krise
b2,group-1,Risiko
b2,group-1,Strategie
b2,group-1,Qualität
b2,group-1,Leistung
b2,group-1,Anspruch
b2,group-1,Kriterium
b2,group-1,Analyse
b2,group-1,Tendenz
b2,group-1,Perspektive
b2,group-1,Argument
b2,group-1,Gegenargument
b2,group-1,Fähigkeit
b2,group-1,Kenntnis
b2,group-1,Bewusstsein
b2,group-1,Gerechtigkeit
b2,group-1,Vielfalt
b2,group-1,Integration
b2,group-1,Datenschutz
b2,group-1,analysieren
b2,group-1,berücksichtigen
b2,group-1,beeinflussen
b2,group-1,bewerten
b2,group-1,darlegen
b2,group-1,untersuchen
b2,group-1,fördern
b2,group-1,fordern
b2,group-1,entstehen
b2,group-1,bestehen
b2,group-1,verfügen
b2,group-1,investieren
b2,group-1,reduzieren
b2,group-1,steigern
b2,group-1,einschätzen
b2,group-1,nachweisen
b2,group-1,umsetzen
b2,group-1,verhandeln
b2,group-1,überzeugen
b2,group-1,kritisieren
b2,group-1,betonen
b2,group-1,verweisen
b2,group-1,veröffentlichen
b2,group-1,berichten
b2,group-1,behaupten
b2,group-1,begrenzen
b2,group-1,erweitern
b2,group-1,anpassen
b2,group-1,scheitern
b2,group-1,profitieren
b2,group-1,deutlich
b2,group-1,erheblich
b2,group-1,knapp
b2,group-1,umfassend
b2,group-1,nachhaltig
b2,group-1,wirtschaftlich
b2,group-1,sozial
b2,group-1,politisch
b2,group-1,kritisch
b2,group-1,realistisch
b2,group-1,theoretisch
b2,group-1,praktisch
b2,group-1,komplex
b2,group-1,flexibel
b2,group-1,geeignet
b2,group-1,hingegen
b2,group-1,allerdings
b2,group-1,grundsätzlich
b2,group-1,insbesondere
b2,group-1,zunehmend
b2,group-1,in Bezug auf
b2,group-1,im Gegensatz zu
b2,group-1,eine Rolle spielen
b2,group-1,zur Verfügung stehen
b2,group-1,in Frage kommen
b2,group-1,davon ausgehen
b2,group-1,darauf hinweisen
b2,group-1,in der Lage sein
b2,group-1,einerseits andererseits
b2,group-1,im Laufe der Zeit
c1,group-1,Ambivalenz
c1,group-1,Differenzierung
c1,group-1,Fragestellung
c1,group-1,Erkenntnis
c1,group-1,Schlussfolgerung
c1,group-1,Schwerpunkt
c1,group-1,Deutung
c1,group-1,Widerspruch
c1,group-1,Konsens
c1,group-1,Dissens
c1,group-1,Kompromiss
c1,group-1,Spielraum
c1,group-1,Rahmenbedingung
c1,group-1,Mehrwert
c1,group-1,Tragweite
c1,group-1,Belastung
c1,group-1,Entlastung
c1,group-1,Abwägung
c1,group-1,Annahme
c1,group-1,Vermutung
c1,group-1,Einwand
c1,group-1,Einschränkung
c1,group-1,Auslegung
c1,group-1,Ermessensspielraum
c1,group-1,Wechselwirkung
c1,group-1,Ressource
c1,group-1,Legitimation
c1,group-1,Transparenz
c1,group-1,Nachhaltigkeit
c1,group-1,Innovation
c1,group-1,Digitalisierung
c1,group-1,Globalisierung
c1,group-1,Ungleichheit
c1,group-1,Teilhabe
c1,group-1,Verbindlichkeit
c1,group-1,Zuständigkeit
c1,group-1,Umsetzung
c1,group-1,Wahrnehmung
c1,group-1,Selbstverständnis
c1,group-1,Stellenwert
c1,group-1,differenzieren
c1,group-1,hinterfragen
c1,group-1,relativieren
c1,group-1,präzisieren
c1,group-1,veranschaulichen
c1,group-1,einordnen
c1,group-1,abwägen
c1,group-1,voraussetzen
c1,group-1,nahelegen
c1,group-1,widerlegen
c1,group-1,verdeutlichen
c1,group-1,einbeziehen
c1,group-1,gewichten
c1,group-1,schlussfolgern
c1,group-1,argumentieren
c1,group-1,konzipieren
c1,group-1,implementieren
c1,group-1,legitimieren
c1,group-1,priorisieren
c1,group-1,problematisieren
c1,group-1,thematisieren
c1,group-1,verallgemeinern
c1,group-1,spezifizieren
c1,group-1,unterstreichen
c1,group-1,ausklammern
c1,group-1,gegenüberstellen
c1,group-1,herleiten
c1,group-1,ableiten
c1,group-1,beeinträchtigen
c1,group-1,gewährleisten
c1,group-1,nuanciert
c1,group-1,widersprüchlich
c1,group-1,stichhaltig
c1,group-1,plausibel
c1,group-1,fragwürdig
c1,group-1,maßgeblich
c1,group-1,nebensächlich
c1,group-1,übergeordnet
c1,group-1,strukturell
c1,group-1,individuell
c1,group-1,kollektiv
c1,group-1,langfristig
c1,group-1,kurzfristig
c1,group-1,vielschichtig
c1,group-1,aufschlussreich
c1,group-1,folglich
c1,group-1,dementsprechend
c1,group-1,zugleich
c1,group-1,bislang
c1,group-1,keineswegs
c1,group-1,im Hinblick auf
c1,group-1,vor diesem Hintergrund
c1,group-1,nicht zuletzt
c1,group-1,zur Debatte stehen
c1,group-1,außer Acht lassen
c1,group-1,in Betracht ziehen
c1,group-1,zur Folge haben
c1,group-1,in Einklang bringen
c1,group-1,sich auseinandersetzen mit
c1,group-1,auf lange Sicht
c2,group-1,Paradigma
c2,group-1,Diskurs
c2,group-1,Narrativ
c2,group-1,Implikation
c2,group-1,Kohärenz
c2,group-1,Inkonsistenz
c2,group-1,Kontingenz
c2,group-1,Diskrepanz
c2,group-1,Komplexität
c2,group-1,Subjektivität
c2,group-1,Objektivität
c2,group-1,Legitimität
c2,group-1,Evidenz
c2,group-1,Prämisse
c2,group-1,Synthese
c2,group-1,Antithese
c2,group-1,Metapher
c2,group-1,Ironie
c2,group-1,Register
c2,group-1,Nuance
c2,group-1,Konvention
c2,group-1,Norm
c2,group-1,Abweichung
c2,group-1,Peripherie
c2,group-1,Zentrum
c2,group-1,Spannung
c2,group-1,Dilemma
c2,group-1,Paradox
c2,group-1,Ambiguität
c2,group-1,Redundanz
c2,group-1,Präzision
c2,group-1,Resonanz
c2,group-1,Entfremdung
c2,group-1,Zugehörigkeit
c2,group-1,Autonomie
c2,group-1,Hegemonie
c2,group-1,Ideologie
c2,group-1,Transformation
c2,group-1,Kontinuität
c2,group-1,Bruch
c2,group-1,dekonstruieren
c2,group-1,rekonstruieren
c2,group-1,abstrahieren
c2,group-1,extrapolieren
c2,group-1,synthetisieren
c2,group-1,postulieren
c2,group-1,konzedieren
c2,group-1,implizieren
c2,group-1,antizipieren
c2,group-1,kontextualisieren
c2,group-1,operationalisieren
c2,group-1,modellieren
c2,group-1,delegitimieren
c2,group-1,manifestieren
c2,group-1,oszillieren
c2,group-1,divergieren
c2,group-1,konvergieren
c2,group-1,persistieren
c2,group-1,transzendieren
c2,group-1,subsumieren
c2,group-1,elaborieren
c2,group-1,reflektieren
c2,group-1,rezipieren
c2,group-1,instrumentalisieren
c2,group-1,kanonisieren
c2,group-1,marginalisieren
c2,group-1,essentialisieren
c2,group-1,typisieren
c2,group-1,hierarchisieren
c2,group-1,revidieren
c2,group-1,epistemisch
c2,group-1,diskursiv
c2,group-1,normativ
c2,group-1,deskriptiv
c2,group-1,implizit
c2,group-1,explizit
c2,group-1,kohärent
c2,group-1,kontingent
c2,group-1,divergent
c2,group-1,konvergent
c2,group-1,marginal
c2,group-1,hegemonial
c2,group-1,autonom
c2,group-1,dialektisch
c2,group-1,redundant
c2,group-1,mithin
c2,group-1,gleichwohl
c2,group-1,indes
c2,group-1,dergestalt
c2,group-1,insofern
c2,group-1,in letzter Konsequenz
c2,group-1,auf den Punkt gebracht
c2,group-1,nichtsdestotrotz
c2,group-1,im engeren Sinne
c2,group-1,im weiteren Sinne
c2,group-1,außer Frage stehen
c2,group-1,zur Disposition stehen
c2,group-1,in den Vordergrund rücken
c2,group-1,unter Vorbehalt
c2,group-1,mit anderen Worten
